	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
alpha_rarefaction_10507_7.txt	10507	7	8703.18844221	4198.35770235	4639.84548105	5040.16935484	3847.40874036	3995.52023121	4345.24310777	4588.74715909	4191.25274725	3671.15705128	3585.65289256	4245.32613909	4394.16537468	3048.76764706	4224.89750693	4293.08923885	4426.98992443	4402.94240838	3991.10526316	3985.0280112	4068.936	4861.78139535	4357.08661417	4101.35509138	3890.45118734	4779.00714286	4081.51522843	4056.50769231	3516.97159091
alpha_rarefaction_10507_8.txt	10507	8	8555.36690647	4041.79136691	4531.69121813	4953.60266667	4105.4895288	3791.63554217	4443.14503817	4512.82070707	4406.74852071	3806.5922619	3492.83673469	4035.95488722	4295.00722892	3239.65243902	4496.27777778	4414.03191489	5007.06158358	4799.47289157	4007.76357827	4229.0989011	3876.24465558	4893.57462687	4106.03875969	4336.19230769	4143.72807018	4423.26067416	4375.19170984	4103.19806763	3798.95522388
alpha_rarefaction_10507_9.txt	10507	9	8725.75990099	4113.8847185	4437.69863014	4757.4775	4154.11898017	3763.75433526	4341.65079365	4601.375	4241.59349593	3764.54131054	3542.03003003	3797.51972158	4453.6	3388.29354839	4420.41369863	4174.1	5334.78220859	4191.13715711	3865.0031746	3961.056	4453.09970674	4982.66906475	4135.29925187	4369.375	3986.61904762	4656.69733656	4313.49740933	4431.44791667	3744.89766082
alpha_rarefaction_14006_0.txt	14006	0	10891.4444444	4674.58333333	4779.17772512	5334.38157895	4409.50119332	4262.05528846	4972.90300231	5246.70238095	4764.27475248	3987.85185185	3871.59390863	4529.13771186	5103.37028302	3435.16326531	5094.89260143	4954.85194175	5607.97051597	4919.46682464	4611.54972376	4489.3686747	4695.27459954	5530.19883041	4648.04026846	5054.56730769	4566.02439024	4868.34328358	4564.15	4831.95681818	3886.13776722
alpha_rarefaction_14006_1.txt	14006	1	10194.6695279	4496.61764706	4831.32311321	5299.90343348	4451.87385321	4211.83333333	4667.35520362	5596.49492386	4787.11167513	4411.46132597	4112.01351351	4394.7654321	4659.06779661	3632.74515235	4959.19194313	4895.8540146	5408.6169265	5096.73455378	4329.0074813	4920.62599469	4594.01385681	5671.07142857	4871.68656716	4784.77304965	4367.93863636	4953.33939394	4610.70784314	4587.35520362	4206.75714286
alpha_rarefaction_14006_2.txt	14006	2	10079.4	4880.46153846	4563.03432494	5644.50835322	4451.36342043	4490.77837838	5180.7	5487.41605839	4842.23678161	3980.44604317	3910.51675978	4612.73417722	4891.10526316	3794.43342776	5141.02512563	4828.81707317	5094.39215686	4925.28162291	4764.04034582	4362.2706422	4372.87586207	5484.6020202	4725.67889908	4826.92410714	4510.30136986	4838.71905697	4646.49148936	4405.95100223	4221.92647059
alpha_rarefaction_14006_3.txt	14006	3	10300.0610022	4539.04761905	4497.49358974	5411.55066079	4389.60175055	4103.88861386	4641.6838565	5145.23980815	4692.11933174	4029.50131926	3880.34126984	4497.47974414	4843.56599553	3692.04225352	4965.065	4781.83658537	5407.00236967	4838.04186047	4325.61538462	4499.22033898	4827.25879397	5593.12328767	4709.0548926	4919.75280899	4597.22627737	4879.06870229	5212.85611511	5023.13163972	4014.05454545
alpha_rarefaction_14006_4.txt	14006	4	10779.2943723	4880.92665037	4521.18543046	5344.14765101	4435.94816415	4354.50632911	4833.73648649	4912.98633257	4763.28605769	4310.57142857	4025.14173228	4312.94650206	4862.5812357	3611.77088949	5370.28985507	4735.39904988	5414.60227273	5033.69026549	4516.62816901	4635.95180723	4456.84734513	5561.43496802	4451.54109589	4859.54022989	4741.50742574	5145.962	4662.95841996	4648.99295775	4208.17886179
alpha_rarefaction_14006_5.txt	14006	5	10202.0205761	4737.54415274	4610.18571429	5642.28	4597.75794621	4290.82978723	4918.16666667	5593.38215103	4804.22278481	4274.27272727	3840.70588235	4458.97764228	4946.47309417	3796.57567568	4894.612529	4692.84597156	5727.34718826	5086.24824356	4152.07272727	4459.33251834	4427.55876289	5332.53623188	4493.80465116	4365.12095032	4398.04883721	4846.70414201	4802.20357942	4551.15604396	4177.39320388
alpha_rarefaction_14006_6.txt	14006	6	10622.335443	4471.20535714	4890.66974596	5588.63510393	4574.50233645	4494.17590361	5032.82298851	5162.52643172	4913.77750611	4159.61246612	3990.39313984	4419.725	4675.64578834	3422.35294118	4954.70616114	4740.1048951	5153.75796178	4868.98364486	4675.1372549	4893.8825	4676.00242131	5309.77099237	4783.80320366	4982.30734967	4594.13480392	4877.056	4848.66225166	4390.34955752	3832.14798206
