	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
alpha_rarefaction_10507_8.txt	10507	8	43.70242	43.20878	39.03942	42.70714	42.52481	39.54352	43.60343	39.8811	39.59145	32.51759	35.20161	36.99336	39.73339	31.34764	38.4879	40.62057	42.58989	42.22302	40.11616	42.34773	42.57607	41.14396	43.00358	40.41304	41.59698	41.30691	41.93543	43.47605	40.77584
alpha_rarefaction_10507_9.txt	10507	9	44.36026	42.65727	38.59164	42.05898	41.6071	38.6237	43.42758	39.06502	38.91151	31.66222	35.43653	37.75525	40.29118	33.27758	38.65158	41.73531	43.27333	42.56499	41.75727	41.13313	41.78935	42.21587	43.19124	39.25529	40.7187	43.66511	40.77852	43.8168	41.23596
alpha_rarefaction_14006_0.txt	14006	0	47.81691	44.90488	42.29469	45.8963	44.35969	41.90294	45.31761	42.74924	40.98726	33.95113	37.93061	39.5274	42.23614	35.2334	41.56828	43.5574	45.52161	45.3622	42.90545	44.00038	43.70355	44.01527	44.84615	41.52401	42.9198	43.9285	41.91254	45.81713	43.80456
alpha_rarefaction_14006_1.txt	14006	1	47.93724	44.18519	42.21895	45.68228	42.84613	41.73699	44.62755	43.49911	39.96567	35.37157	38.48313	40.68188	41.56069	35.16646	41.29476	42.83632	45.30196	44.82314	43.14233	44.89664	45.44542	44.5243	44.2599	41.89003	42.79696	44.35483	42.82869	44.68929	43.32016
alpha_rarefaction_14006_2.txt	14006	2	47.0362	43.85093	42.25254	46.26255	43.16519	41.47855	46.27835	42.49482	40.77328	34.22951	38.63868	39.45129	41.31088	34.86268	39.71849	42.93367	44.44205	43.73375	42.51754	45.4402	43.92603	45.46643	45.00842	40.63006	43.34628	44.22506	43.57943	45.87651	44.19396
alpha_rarefaction_14006_3.txt	14006	3	47.02816	44.03313	41.98502	46.26358	43.68244	40.56891	44.45667	42.8071	40.51137	33.33343	37.00007	40.21666	40.99695	36.33633	40.84572	42.92596	45.40207	45.87535	42.06443	43.08565	44.43634	44.36016	44.4895	43.60281	43.95766	45.9167	43.55418	45.62617	44.00825
alpha_rarefaction_14006_4.txt	14006	4	45.9118	44.59159	41.79144	44.78834	43.79893	41.25873	45.35076	43.60819	39.94992	34.08386	39.96807	39.60996	41.37732	35.91405	40.92384	43.08806	45.12666	43.94944	43.65978	44.41297	43.74808	44.22346	44.5592	40.97137	44.47506	44.84214	43.5754	45.77929	43.60126
alpha_rarefaction_14006_5.txt	14006	5	45.52362	44.8323	42.65375	44.86319	43.38106	41.56902	44.42324	42.86018	40.46697	34.50985	37.54476	40.67723	42.20804	36.1596	40.05224	42.77025	44.11931	44.12335	42.99299	43.94179	43.88219	44.76514	44.38997	42.04083	43.30816	43.55925	43.06531	45.8171	43.21459
alpha_rarefaction_14006_6.txt	14006	6	46.88238	43.85778	43.42061	44.87469	43.38063	42.80294	46.62712	43.3921	41.13986	34.02998	38.66662	39.08964	42.77982	34.3317	39.36294	44.0428	43.84952	44.38575	42.05268	44.7997	42.70381	44.51397	44.76308	41.80477	44.35233	44.0996	42.52989	46.52164	43.58299
alpha_rarefaction_14006_7.txt	14006	7	46.664	44.17538	42.12343	45.10001	43.47278	40.76625	43.57319	41.73166	40.84061	32.98488	37.90623	39.92083	41.258	36.11739	42.00902	43.6829	45.22728	44.31448	43.73198	45.71447	44.47008	43.50546	44.64945	42.77637	43.47997	44.85511	43.31091	45.30161	43.71713
alpha_rarefaction_14006_8.txt	14006	8	46.07004	45.93629	42.25193	44.61006	42.93294	40.86306	45.8613	42.69121	42.00317	35.04761	37.54665	39.81655	43.44994	35.87794	40.65848	44.10748	46.23705	43.97655	43.84847	43.89165	44.77559	43.10187	42.33272	42.96429	43.25621	43.80698	42.84042	43.85388	43.14929
alpha_rarefaction_14006_9.txt	14006	9	46.0837	45.16443	42.76274	46.50797	44.49314	41.65412	44.96785	42.78893	40.92301	33.45671	38.42954	40.82583	42.32619	36.12224	40.27356	43.57562	45.6464	44.25214	43.23738	43.61757	43.71035	42.86693	44.2437	43.17587	44.21684	44.32091	41.4827	45.32113	42.99781
alpha_rarefaction_17505_0.txt	17505	0	48.2269	46.20448	43.269	46.96822	45.45743	43.97088	46.41255	44.90867	42.86689	35.23482	39.10514	42.41763	43.4695	38.00159	42.67036	45.02269	47.04502	46.19994	43.55702	45.93973	45.14731	46.42631	45.0684	43.1073	44.56681	45.76507	45.03306	47.76514	45.35442
alpha_rarefaction_17505_1.txt	17505	1	48.87031	46.58879	43.92423	46.97068	46.70523	44.28357	46.19625	43.80378	42.54356	34.94894	40.0482	42.08466	43.62466	36.36985	43.23999	44.47436	46.29919	45.10383	43.51734	45.72894	44.65604	46.26379	46.98159	43.47339	44.93559	46.99695	45.55355	47.07981	43.96178
alpha_rarefaction_17505_2.txt	17505	2	48.93944	46.52815	43.39249	46.31458	44.84554	43.1138	46.14208	44.42471	41.34154	36.04954	38.96665	41.4936	43.64096	38.18283	43.54405	45.97865	47.15586	47.01643	44.2607	46.04769	45.85516	45.38505	45.96686	43.0554	45.8103	45.34911	45.19907	46.23556	45.20103
alpha_rarefaction_17505_3.txt	17505	3	48.21705	46.2197	43.54912	47.07542	44.98516	44.02411	45.96936	43.43895	42.72747	35.43183	39.04568	42.20087	43.18913	38.61449	42.6194	44.20986	46.86846	44.98673	44.61176	47.2275	46.97787	46.63274	45.2865	43.4084	44.3375	45.83077	43.99812	47.27165	45.30332
alpha_rarefaction_17505_4.txt	17505	4	49.36052	46.07289	44.59068	46.26962	44.24307	42.82341	46.45536	44.41079	41.80522	34.28463	40.06387	42.82899	44.01763	36.79805	42.10691	45.58451	46.96864	44.27801	44.37487	45.1543	46.19786	46.73507	45.78539	42.72293	44.98249	46.72501	43.77063	46.23916	45.87078
alpha_rarefaction_17505_5.txt	17505	5	49.98871	45.11685	44.02133	47.16369	43.81948	43.47285	47.38362	45.32446	43.58597	34.76198	38.53224	41.46475	42.86845	38.13788	42.66117	43.95585	47.51508	46.37684	44.2052	46.7564	45.73965	45.67867	45.63342	43.56408	45.3036	47.10562	46.08532	45.74969	44.20507
alpha_rarefaction_17505_6.txt	17505	6	48.71777	45.65891	44.2552	46.64075	46.22693	43.13195	47.77359	45.61573	43.80212	35.88631	37.94625	42.17548	43.39292	37.59064	43.42419	46.06804	47.48037	46.68377	43.36984	45.34663	46.09828	45.0847	45.23073	44.78661	44.43389	45.28421	44.66669	46.07683	44.62821
alpha_rarefaction_17505_7.txt	17505	7	49.65062	46.65779	42.95644	47.57368	44.67408	44.27362	46.97409	44.50932	42.97908	35.36871	39.58998	41.24489	42.47454	38.83363	42.23505	44.71933	47.92816	45.52551	45.13187	46.13369	45.22825	46.79738	45.52786	45.36105	45.09016	47.31848	45.65051	47.07291	45.76455
alpha_rarefaction_17505_8.txt	17505	8	48.25205	46.57139	43.58862	46.39858	45.17425	43.15899	47.06364	44.52785	42.94435	36.14132	39.97207	40.50396	43.19506	37.86513	40.84412	44.0648	47.60623	45.93932	45.66436	45.46845	45.85618	46.43429	45.79247	44.31055	44.26819	47.6462	44.24493	45.39259	44.19463
alpha_rarefaction_17505_9.txt	17505	9	49.15877	45.52117	40.67134	47.76224	45.57559	42.87688	46.41671	44.35035	41.92307	33.79806	38.80596	42.36875	45.19966	37.68434	42.88289	46.60243	46.34713	46.569	45.07352	45.82228	46.0427	45.25544	45.76565	44.03248	44.59103	45.73868	44.44432	47.54477	44.49676
alpha_rarefaction_21004_0.txt	21004	0	49.94814	46.78066	44.64056	47.06517	47.33831	44.02311	47.19013	45.79529	43.79346	36.7094	40.68057	44.00014	44.93574	38.99843	45.49699	46.66361	48.59268	46.8669	45.05525	46.74702	46.55942	48.04759	47.26597	46.22009	47.38752	47.33502	46.28863	49.38739	46.35547
alpha_rarefaction_21004_1.txt	21004	1	50.90151	46.35389	44.73764	47.94571	47.01728	44.44973	47.58656	45.57987	44.90919	35.65884	41.7151	42.83235	44.55405	39.2756	44.22473	45.71176	47.98685	48.16267	45.66247	47.52349	47.61417	46.70156	45.76669	44.62705	45.89759	47.28768	46.34574	48.38103	45.57953
alpha_rarefaction_21004_2.txt	21004	2	50.72279	47.09553	45.58953	47.61659	47.52609	44.7717	48.79664	46.40997	42.95292	36.52198	40.78453	43.32651	44.02007	38.74309	44.99479	46.37002	48.48697	46.90345	47.49339	47.31353	46.9864	45.90585	47.56821	44.90527	46.49071	47.56526	45.02634	47.77654	46.49103
alpha_rarefaction_21004_3.txt	21004	3	49.85689	47.29469	45.51966	47.30791	48.01892	44.27952	48.35385	46.8463	42.99358	37.40105	39.71973	43.13752	44.72859	38.56466	43.87304	45.66293	48.1174	47.30086	45.61562	47.61067	47.624	47.50362	46.55441	45.41342	46.65008	46.52492	44.76562	48.07237	45.83042
alpha_rarefaction_21004_4.txt	21004	4	50.2147	47.61145	44.95371	49.91972	46.5921	43.6842	47.17636	45.10592	43.00943	35.96873	40.01156	42.32492	44.50164	38.86196	43.65929	47.05155	48.86856	48.79959	44.23444	46.44024	46.98814	46.81726	47.20532	44.56164	46.71971	47.6073	46.68324	48.22813	46.41604
alpha_rarefaction_21004_5.txt	21004	5	50.34785	46.91483	44.75794	47.3128	46.61218	44.27765	47.08517	46.5075	44.43549	36.2101	40.14975	43.07353	45.29056	39.16841	44.39453	45.16224	48.02496	46.36348	45.02118	46.31669	46.34714	47.26288	47.29372	44.82091	46.07428	46.77711	45.93488	48.30016	44.4454
alpha_rarefaction_21004_6.txt	21004	6	50.97901	47.99174	44.76299	47.48024	47.20966	44.17444	46.96828	46.79626	43.01656	37.97656	40.81388	42.58934	44.96313	39.22015	43.95942	47.36699	48.24957	46.74019	45.42605	47.77824	45.97322	47.51338	48.34965	44.46327	47.06663	46.84116	45.87677	48.12102	46.49209
alpha_rarefaction_21004_7.txt	21004	7	50.16184	47.6421	45.75037	48.48701	45.74681	45.41559	48.55666	46.06958	44.31477	35.6568	41.2828	41.56846	44.59853	38.83143	44.08528	46.61627	48.34155	47.13483	44.9516	46.32621	46.64411	46.24502	47.4448	45.43122	46.41844	47.44328	46.26699	46.8286	46.6313
alpha_rarefaction_21004_8.txt	21004	8	49.36027	47.56736	45.41528	47.84796	45.98594	45.16161	48.06699	46.67134	44.98159	36.59804	40.60489	41.94053	44.45486	38.21922	43.4807	46.68698	48.63023	47.60853	46.69058	47.39542	47.21941	48.0448	47.80225	44.84806	47.47098	48.72766	46.12393	47.19289	45.936
alpha_rarefaction_21004_9.txt	21004	9	51.31194	46.86794	44.66398	47.5623	45.8995	45.44697	47.6699	47.1125	44.35972	36.25182	41.20931	42.74507	44.09883	38.96828	43.98624	45.68327	48.6147	47.24901	46.9653	47.77032	46.74479	46.78757	47.1328	45.23856	45.43917	48.61025	44.44521	47.14142	46.4931
alpha_rarefaction_24503_0.txt	24503	0	52.43294	47.69967	45.46143	49.61582	48.21161	45.81251	47.55841	46.55672	45.34873	38.40671	40.96864	43.247	45.89187	39.41234	45.98193	47.22802	48.73883	47.99789	45.84093	47.50488	47.51176	48.06405	48.10392	45.64728	47.07521	48.55028	46.64242	49.5657	46.60944
alpha_rarefaction_24503_1.txt	24503	1	51.23294	47.88517	45.63851	49.17606	47.73667	45.61654	49.56832	47.22603	44.92614	38.35843	41.14531	43.78803	45.57395	40.13426	44.50499	47.80486	50.06323	47.94301	46.18854	47.61592	47.32518	48.5476	47.44688	46.32101	46.52334	48.55973	47.45287	49.17421	46.89187
alpha_rarefaction_24503_2.txt	24503	2	50.85552	48.36478	46.78096	50.37869	47.40698	46.24279	48.20528	47.81127	44.99996	38.68704	41.8532	44.61942	46.45301	39.77359	44.75753	48.6026	49.19014	49.98682	45.87998	48.34305	48.23994	48.24072	47.66858	46.12049	47.95271	48.74061	48.39325	48.97348	47.89727
alpha_rarefaction_24503_3.txt	24503	3	51.40586	48.86179	45.71705	48.83388	47.91209	45.96645	48.39467	46.42736	46.31679	37.51193	42.01202	43.80719	45.62782	41.3991	44.97334	47.45896	49.61133	47.69482	47.01777	49.03542	47.28994	47.6497	47.39828	45.98148	47.94214	48.97165	47.31006	48.42339	46.32939
alpha_rarefaction_24503_4.txt	24503	4	51.92169	48.43637	45.69249	49.91588	48.34902	45.34418	48.67148	46.48812	45.66813	36.55775	41.66323	44.51556	45.5223	39.6465	45.08049	47.39305	48.64473	47.60236	46.5827	48.06716	47.91792	47.63616	48.00031	45.96444	47.73845	48.07638	47.28938	47.89884	46.99838
alpha_rarefaction_24503_5.txt	24503	5	51.84883	48.26939	46.86665	49.45189	46.71817	46.70813	49.08401	48.10041	45.63928	37.05376	41.61284	44.44901	47.10509	40.02414	43.79738	47.0474	49.47649	49.1768	45.18304	48.69927	48.16623	48.59245	47.81724	46.5912	46.61641	47.76883	47.02406	49.3895	46.77962
alpha_rarefaction_24503_6.txt	24503	6	51.24303	48.39201	46.70002	49.33719	48.29621	46.31844	48.1896	47.69585	44.85005	38.93125	40.43749	44.32535	45.55828	41.03989	43.67308	47.69022	49.41102	48.9705	46.76389	48.68755	46.42628	48.64027	47.95888	47.1457	47.63572	49.24756	48.07995	49.18748	47.91557
alpha_rarefaction_24503_7.txt	24503	7	52.95173	47.7881	46.39631	49.06892	47.25895	44.98356	48.84077	47.48479	45.82108	37.41639	41.15122	44.40382	46.7221	39.76122	45.68015	46.18282	49.41249	46.85875	46.71638	48.42044	48.93746	48.56725	48.11752	47.17629	47.27377	48.80109	46.67652	49.12	47.6775
